,host_city,stadium_name,match_date,match_type,innings_number,batting_position,player_name,player_team,opposition_team,balls_faced,runs_scored,dismissal_type,strike_rate,0's,1's,2's,3's,4's,5's,6's,7's,total_team_score,match_winning_team,note
0,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,11,Mohammed Shami,Sunrisers Hyderabad,Kolkata Knight Riders,4,2,not out,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
1,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,10,Simarjeet Singh,Sunrisers Hyderabad,Kolkata Knight Riders,1,0,bowled,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
2,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,9,HV Patel,Sunrisers Hyderabad,Kolkata Knight Riders,5,3,caught,60.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
3,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,8,PJ Cummins,Sunrisers Hyderabad,Kolkata Knight Riders,15,14,caught,93.33,7.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
4,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,7,Aniket Verma,Sunrisers Hyderabad,Kolkata Knight Riders,6,6,caught,100.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
5,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,6,H Klaasen,Sunrisers Hyderabad,Kolkata Knight Riders,21,33,caught,157.14,4.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,120,Kolkata Knight Riders,
6,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,5,PHKD Mendis,Sunrisers Hyderabad,Kolkata Knight Riders,20,27,caught,135.0,9.0,5.0,3.0,0.0,1.0,0.0,2.0,0.0,120,Kolkata Knight Riders,
7,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,4,K Nitish Kumar Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,15,19,caught,126.66,8.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,120,Kolkata Knight Riders,
8,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,3,Ishan Kishan,Sunrisers Hyderabad,Kolkata Knight Riders,5,2,caught,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
9,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,2,Abhishek Sharma,Sunrisers Hyderabad,Kolkata Knight Riders,6,2,caught,33.33,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
10,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,2,1,TM Head,Sunrisers Hyderabad,Kolkata Knight Riders,2,4,caught,200.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120,Kolkata Knight Riders,
11,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,7,AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,2,1,run out,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,Kolkata Knight Riders,
12,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,6,RK Singh,Kolkata Knight Riders,Sunrisers Hyderabad,17,32,not out,188.23,3.0,8.0,1.0,0.0,4.0,0.0,1.0,0.0,200,Kolkata Knight Riders,
13,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,5,VR Iyer,Kolkata Knight Riders,Sunrisers Hyderabad,29,60,caught,206.89,7.0,10.0,2.0,0.0,7.0,0.0,3.0,0.0,200,Kolkata Knight Riders,
14,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,4,A Raghuvanshi,Kolkata Knight Riders,Sunrisers Hyderabad,32,50,caught,156.25,9.0,14.0,2.0,0.0,5.0,0.0,2.0,0.0,200,Kolkata Knight Riders,
15,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,3,AM Rahane,Kolkata Knight Riders,Sunrisers Hyderabad,27,38,caught,140.74,13.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,200,Kolkata Knight Riders,
16,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,2,SP Narine,Kolkata Knight Riders,Sunrisers Hyderabad,7,7,caught,100.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200,Kolkata Knight Riders,
17,Kolkata,"Eden Gardens, Kolkata",03-04-2025,15th Match,1,1,Q de Kock,Kolkata Knight Riders,Sunrisers Hyderabad,6,1,caught,16.66,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,Kolkata Knight Riders,
18,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",02-04-2025,14th Match,2,4,SE Rutherford,Gujarat Titans,Royal Challengers Bengaluru,18,30,not out,166.66,6.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,170,Gujarat Titans,
19,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",02-04-2025,14th Match,2,3,JC Buttler,Gujarat Titans,Royal Challengers Bengaluru,39,73,not out,187.17,11.0,17.0,0.0,0.0,5.0,0.0,6.0,0.0,170,Gujarat Titans,
20,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",02-04-2025,14th Match,2,2,Shubman Gill,Gujarat Titans,Royal Challengers Bengaluru,14,14,caught,100.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,170,Gujarat Titans,
21,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",02-04-2025,14th Match,2,1,B Sai Sudharsan,Gujarat Titans,Royal Challengers Bengaluru,36,49,caught,136.11,14.0,13.0,1.0,0.0,7.0,0.0,1.0,0.0,170,Gujarat Titans,
22,Bengaluru,"M.Chinnaswamy Stadium, Bengaluru",02-04-2025,14th Match,1,9,B Kumar,Royal Challengers Bengaluru,Gujarat Titans,2,1,not out,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,169,Gujarat Titans,
